case_number,year,type,country,age,species_,month,fatal,sex
1996.09.01.a,1996,Provoked,south africa,29,White shark,Sep,N,M
1996.08.29,1996,Unprovoked,usa,19,"Tiger shark, 2.4 m [8'] ",Aug,N,M
1996.08.13,1996,Unprovoked,usa,36,6 m [20'] white shark,Aug,N,M
1996.08.11,1996,Unprovoked,usa,21,1.8 m to 2.1 m [6' to 7'] hammerhead shark,Aug,N,M
1996.07.04.b,1996,Unprovoked,usa,63,5' to 6' shark,Jul,N,F
1996.05.28,1996,Unprovoked,south africa,17,2.5 m [8.25'] white shark ,May,N,M
1996.05.18,1996,Unprovoked,usa,22,1.2 m [4'] shark,May,N,M
1996.05.07,1996,Unprovoked,usa,27,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,May,N,M
1996.03.05,1996,Unprovoked,australia,47,Tiger shark,Mar,N,F
1996.02.26,1996,Unprovoked,australia,24,Bronze whaler shark,Feb,N,M
1996.02.04,1996,Unprovoked,australia,7,"""reef shark""",Feb,N,M
1996.01.16,1996,Unprovoked,usa,53,Possibly a tiger shark,Jan,N,M
1996.01.10,1996,Unprovoked,reunion,25,"Tiger shark, 300-kg [662-lb] ",Jan,Y,M
1995.10.11,1995,Unprovoked,australia,15,4 m shark,Oct,N,F
1995.10.01,1995,Unprovoked,usa,39,1.2 m to 1.5 m [4' to 5']   shark,Oct,N,M
1995.09.30.b,1995,Unprovoked,usa,14,1.5 to 1.8 m [5' to 6'] shark,Sep,N,M
1995.09.28,1995,Unprovoked,usa,25,4 m [13'] white shark,Sep,N,M
1995.09.11,1995,Unprovoked,australia,29,White shark,Sep,Y,M
1995.09.03.b,1995,Unprovoked,usa,32,3 m to 4 m [10' to 13'] white shark,Sep,N,M
1995.08.26/b,1995,Unprovoked,usa,16,5' shark,Aug,N,M
1995.08.26.a,1995,Unprovoked,usa,18,"""a small shark""",Aug,N,M
1995.08.25,1995,Unprovoked,usa,16,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M
1995.08.22.c,1995,Unprovoked,usa,23,"""sand"" shark",Aug,N,M
1995.08.22.a,1995,Unprovoked,usa,19,"""small shark""",Aug,N,M
1995.08.19,1995,Unprovoked,tonga,18,"""small shark""",Aug,N,M
1995.08.15,1995,Unprovoked,usa,20,1.8 m [6'] shark,Aug,N,M
1995.08.07,1995,Unprovoked,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M
1995.06.30,1995,Unprovoked,usa,31,6 m [20'] white shark,Jun,N,M
1995.06.17.a,1995,Unprovoked,usa,45,1.8 m [6'] shark,Jun,N,M
1995.06.16,1995,Unprovoked,usa,10,6' shark,Jun,N,F
1995.06.14,1995,Unprovoked,usa,38,"Tiger shark, 3.7 m [12'] ",Jun,N,M
1995.06.02,1995,Unprovoked,hong kong,29,1.8 m to 2.1 m [6' to 7'] shark,Jun,Y,M
1995.04.09.a,1995,Unprovoked,japan,47,6 m [20'] white shark,Apr,Y,M
1995.03.11,1995,Unprovoked,australia,35,"Bronze whaler shark, 2 m ",Mar,N,M
1995.02.19,1995,Unprovoked,south africa,22,Raggedtooth shark,Feb,N,M
1995.01.24,1995,Unprovoked,south africa,14,"Tiger shark, 1.8 m [6'] ",Jan,Y,M
1994.12.30,1994,Unprovoked,south africa,26,5.5 m [18'] white shark,Dec,N,M
1994.12.09.a,1994,Unprovoked,usa,42,5 m to 5.5 m [16.5' to 18'] white shark,Dec,Y,M
1994.11.13,1994,Unprovoked,usa,34,2.7 m [9'] shark,Nov,N,F
1994.10.08,1994,Provoked,usa,9,Thought to involve a small sand shark,Oct,N,F
1994.09.21,1994,Unprovoked,usa,43,5 m [16.5'] white shark,Sep,N,M
1994.09.05,1994,Unprovoked,usa,12,Small shark,Sep,N,F
1994.07.09.c,1994,Unprovoked,reunion,24,3 to 3.5 m [10' to 11.5'] bull shark,Jul,Y,M
1994.07.09.b,1994,Unprovoked,south africa,22,4 m [13'] white shark,Jul,Y,M
1994.07.09.a,1994,Unprovoked,south africa,31,4 m [13'] white shark,Jul,N,M
1994.07.08.a,1994,Unprovoked,usa,15,"""small shark""",Jul,N,M
1994.06.24,1994,Unprovoked,bahamas,30,1.8 m [6'] shark,Jun,N,M
1994.05.31.a,1994,Unprovoked,usa, 28,1.2 m [4'] spinner shark,May,N,M
1994.05.15,1994,Unprovoked,usa,22,>1.8 m [6'] shark,May,N,M
1994.02.19,1994,Unprovoked,usa,23,1.2 m [4'] shark,Feb,N,M
1994.02.12,1994,Unprovoked,south africa,15,3 m [10'] white shark,Feb,N,M
1994.01.03,1994,Unprovoked,south africa,33,"1.3 m [4'3""] shark",Jan,N,M
1993.11.21,1993,Unprovoked,australia,27,Tiger shark caught 6 days later with divers remains in its gut,Nov,Y,M
1993.10.30,1993,Unprovoked,usa,26,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M
1993.10.26,1993,Unprovoked,usa,26,3 m [10'] bull shark,Oct,N,F
1993.10.10,1993,Boating,usa,34,>6 m [20'] white shark,Oct,N,F
1993.09.26,1993,Unprovoked,south africa,36,3 m [10'] white shark,Sep,N,M
1993.09.03,1993,Unprovoked,spain,69,1.2 m [4'] shark,Sep,N,M
1993.08.21,1993,Unprovoked,bahamas,51,1.8 m [6'] blacktip shark or Caribbean reef shark,Aug,N,M
1993.08.15.a,1993,Unprovoked,usa,19,Bull shark,Aug,N,F
1993.08.12,1993,Unprovoked,usa,39,5.5 m to 6 m [18' to 20']  white shark,Aug,N,M
1993.07.30,1993,Unprovoked,south africa,28,4 m [13'] white shark,Jul,N,M
1993.07.07,1993,Unprovoked,usa,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",Jul,N,F
1993.06.10,1993,Unprovoked,usa,22,Thought to involve a tiger shark,Jun,N,M
1993.06.09,1993,Unprovoked,australia,31,Remains recovered from 5.5 m [18'] white shark,Jun,Y,M
1993.06.05,1993,Unprovoked,australia,34,5 m [16.5'] white shark,Jun,Y,F
1993.06.00,1993,Unprovoked,usa,60's,6' shark,Jun,N,F
1993.03.14,1993,Unprovoked,usa,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",Mar,N,M
1993.03.12,1993,Unprovoked,usa,55,White shark,Mar,N,M
1993.02.04,1993,Provoked,australia,69,"Bronze whaler shark, 1.5 m ",,N,M
1993.01.05,1993,Unprovoked,australia,21,1.5 m shark,Jan,N,M
1993.01.02,1993,Unprovoked,usa,29,6 m [20'] white shark,Jan,N,M
1992.12.28,1992,Unprovoked,usa,10,"Tiger shark, 2.4 m [8']",Dec,N,M
1992.12.23,1992,Unprovoked,usa,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",Dec,N,M
1992.11.29,1992,Unprovoked,usa,31,"Mako shark, 1.8 m [6']  ",Nov,N,M
1992.11.25.a,1992,Unprovoked,usa,19,6' to 7' blacktip shark,Nov,N,M
1992.11.14,1992,Boating,usa,46,5 m to 6 m white shark,Nov,N,M
1992.11.11,1992,Unprovoked,usa,40,Unidentified shark,Nov,N,M
1992.11.05.a,1992,Unprovoked,usa,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",Nov,Y,M
1992.10.29,1992,Unprovoked,usa,40,2.5 m [8.25'] white shark,Oct,N,M
1992.10.22,1992,Unprovoked,usa,28,"Tiger shark, 4.3 m [14'] ",Oct,N,M
1992.10.01,1992,Unprovoked,australia,28,4.2 m white shark,Oct,Y,M
1992.09.13,1992,Unprovoked,usa,20,4 m to 5 m [13' to 16.5']  white shark ,Sep,N,M
1992.08.25,1992,Unprovoked,australia,17,4 m white shark,Aug,N,M
1992.08.18,1992,Unprovoked,usa,22,5.5 m to 6 m [18' to 20'] white shark,Aug,N,M
1992.07.21,1992,Unprovoked,usa,42,"""a small shark""",Jul,N,F
1992.06.28.a,1992,Unprovoked,reunion,16,Bull shark or lemon shark,Jun,Y,M
1992.04.09,1992,Unprovoked,south africa,35,>2 m shark,Apr,N,M
1992.03.28,1992,Unprovoked,usa,36,Tiger shark,Mar,N,F
1992.03.08.c,1992,Unprovoked,japan,41,"5 m [16.5'] white shark, identification by K. Nakaya",Mar,Y,M
1992.03.08.a,1992,Unprovoked,usa,21,Said to involve a 6 m to 7 m [20' to 23'] white shark,Mar,N,M
1992.02.09,1992,Invalid,australia,19,Questionable incident,Feb,,M
1992.01.29.a,1992,Unprovoked,australia,19,"Bronze whaler shark, 2.3 m [7.5'] ",Jan,N,M
1992.01.23,1992,Unprovoked,south africa,19,"Zambesi shark, 1.7 m [5.5'] ",Jan,N,M
1992.01.08,1992,Unprovoked,south africa,36,Possibly a 1.5 m [5'] blacktip shark,Jan,N,M
1991.12.04,1991,Unprovoked,usa,25,6 m [20'] white shark,Dec,N,M
1991.11.26.b,1991,Unprovoked,usa,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",Nov,Y,F
1991.10.12,1991,Unprovoked,usa,21,1.8 m [6'] shark,Oct,N,M
1991.10.05,1991,Unprovoked,usa,32,5 m to 6 m [16.5' to 20'] white shark,Oct,N,M
1991.09.08,1991,Unprovoked,australia,19,4 m [13'] white shark,Sep,Y,M
1991.08.30,1991,Provoked,australia,36,"3 m [10'], 270- kg [595-lb] shark",Aug,N,M
1991.08.26,1991,Unprovoked,usa,23,sand shark,Aug,N,M
1991.08.12,1991,Unprovoked,usa,10,3' shark,Aug,N,F
1991.07.30,1991,Boating,italy,40,4 m [13'] white shark,Jul,N,F
1991.07.01.b,1991,Unprovoked,reunion,30,"Tiger shark, 3 to 4 m [10' to 13'] ",Jul,N,M
1991.07.01.a,1991,Unprovoked,usa,32,5 m [16.5'] white shark,Jul,N,M
1991.06.07.b,1991,Unprovoked,usa,31,2.7 m [9'] bull or lemon shark,Jun,N,M
1991.06.07.a,1991,Unprovoked,hong kong,65,"Tiger shark, >3 m [10']",Jun,Y,F
1991.05.26,1991,Unprovoked,usa,23,2.4 m [8'] shark,May,N,M
1991.04.16.a,1991,Unprovoked,usa,22,1.2 m to 1.5 m [4' to 5'] shark,Apr,N,M
1991.02.24,1991,Unprovoked,usa,38,5.5 m [18'] white shark,Feb,N,M
1991.02.12,1991,Unprovoked,south africa,20,5.5 m [18'] white shark,Feb,N,M
1990.11.01,1990,Unprovoked,usa,24,5' shark,Nov,N,M
1990.10.30.b,1990,Unprovoked,usa,50,1.8 m [6'] shark ,Oct,N,M
1990.10.20,1990,Unprovoked,usa,25,4' spinner shark,Oct,N,M
1990.10.15,1990,Unprovoked,usa,43,"Tiger shark, 3.7 m [12'] ",Oct,N,M
1990.10.12,1990,Unprovoked,usa,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,N,M
1990.09.15,1990,Unprovoked,south africa,26,5 m  [16.5'] white shark,Sep,N,M
1990.09.08,1990,Unprovoked,usa,49,White shark,Sep,N,M
1990.09.05,1990,Boating,usa,44,2.5 m to 3 m [8.25' to 10']  white shark,Sep,N,M
1990.08.28,1990,Unprovoked,usa,22,5 m to 6 m [16.5' to 20'] white shark,Aug,N,M
1990.06.24,1990,Unprovoked,south africa,21,"4.5 m [14'9""] white shark",Jun,Y,F
1990.05.06,1990,Unprovoked,south africa,22,"5.5 m [18'] white shark, identified by witnesses & tooth marks",May,N,M
1990.04.14,1990,Unprovoked,south africa,23,"2.3 m [7.5'] white shark, identified by M. Smale",Apr,N,M
1990.04.09,1990,Unprovoked,australia,31,"Tiger shark, 3 m ",Apr,N,M
1989.11.18,1989,Unprovoked,south africa,29,White shark,Nov,Y,M
1989.10.22,1989,Unprovoked,australia,17,2.7 m [9'] white shark,Oct,N,M
1989.10.11,1989,Unprovoked,usa,12,4' shark,Oct,N,M
1989.10.08,1989,Invalid,usa,49,Shark involvement suspected but not confirmed,Oct,,M
1989.09.17,1989,Unprovoked,south africa,29,"White shark, identified by tooth pattern",Sep,N,M
1989.09.13,1989,Provoked,usa,51,150-lb shark,Sep,N,M
1989.09.09.b,1989,Unprovoked,usa,38,4 m to 5 m [13' to 16.5']  white shark,Sep,N,M
1989.08.29,1989,Provoked,australia,30,Grey nurse shark,Aug,N,M
1989.08.22.a,1989,Unprovoked,south africa,21,>3.4 m [11'] white shark,Aug,N,M
1989.08.13,1989,Unprovoked,australia,17,"Bronze whaler shark, 3 m [10'] ",Aug,N,M
1989.07.20,1989,Unprovoked,south africa,34,2.5 m [8.25'] white shark,Jul,N,M
1989.06.05,1989,Unprovoked,south africa,16,3 m [10'] white shark,Jun,N,M
1989.06.03,1989,Unprovoked,south africa,28,2.5 m [8.25'] white shark,Jun,N,M
1989.03.09,1989,Unprovoked,australia,27,2 m [6.75'] white shark,Mar,Y,M
1989.02.02,1989,Unprovoked,italy,47,6 m [20'] white shark,Feb,Y,M
1989.01.26.b,1989,Invalid,usa,24,Invalid,Jan,,M
1989.01.26.a,1989,Unprovoked,usa,24,5 m [16.5'] white shark,Jan,Y,F
1989.01.03,1989,Unprovoked,australia,17,"Tiger shark, 4 m [13'] ",Jan,N,M
1988.10.23,1988,Unprovoked,usa,21,5.5 m to 6 m [18' to 20']  white shark,Oct,N,M
1988.10.11,1988,Unprovoked,usa,30,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M
1988.10.10,1988,Unprovoked,usa,23,1.2 m to 1.5 m [4' to 5'] shark,Oct,N,M
1988.09.28,1988,Unprovoked,usa,21,5' shark,Sep,N,M
1988.09.13.a,1988,Unprovoked,usa,38,3 m [10'] bull shark,Sep,Y,M
1988.08.11,1988,Unprovoked,usa,27,2.4 m to 3 m [8' to 10'] white shark,Aug,N,M
1988.06.19,1988,Unprovoked,south africa,36,White shark,Jun,N,M
1988.06.09,1988,Unprovoked,usa,37,Sand shark?,Jun,N,M
1988.06.01,1988,Unprovoked,usa,25,1.8 m to 2.4 m [6' to 8'] shark,Jun,N,M
1988.03.16,1988,Unprovoked,south africa,17,1.5 m to 2 m [5' to 6.75'] shark,Mar,N,M
1988.02.14,1988,Unprovoked,south africa,20,"1 m ""grey-colored"" shark",Feb,N,M
1988.02.13,1988,Unprovoked,south africa,15,Zambezi shark (tooth fragments recovered),Feb,N,F
1988.01.27,1988,Invalid,south africa,22,Shark involvement not confirmed,Jan,,M
1988.01.06,1988,Provoked,south africa,33,1.5 m copper shark,Jan,N,M
1987.12.17,1987,Unprovoked,usa,16,1.8 m [6'] blacktip shark,Dec,N,M
1987.10.26,1987,Unprovoked,usa,20,2 m [6.75'] shark,Oct,N,M
1987.10.25,1987,Invalid,south africa,14,Questionable incident,Oct,,M
1987.10.11,1987,Unprovoked,south africa,21,White shark,Oct,N,M
1987.09.13,1987,Unprovoked,south africa,24,3.5 m [11.5']  white shark,Sep,N,M
1987.08.20,1987,Unprovoked,usa,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M
1987.08.15,1987,Unprovoked,usa,40,5.7 m white shark,Aug,N,M
1987.07.21,1987,Unprovoked,usa,27,3' to 4' shark,Jul,N,M
1987.07.12.b,1987,Unprovoked,usa,32,4' shark,Jul,N,F
1987.07.12.a,1987,Unprovoked,usa,16,4' shark,Jul,N,F
1987.04.01,1987,Unprovoked,vanuatu,8,4.3 m shark,Apr,Y,M
1987.01.28,1987,Unprovoked,south africa,30,>2.5 m [8.25'] white shark,Jan,N,M
1986.12.22,1986,Unprovoked,south africa,21,3 m [10'] white shark,Dec,Y,M
1986.12.11,1986,Unprovoked,usa,40,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,Dec,N,M
1986.12.06.a,1986,Unprovoked,usa,27,5 m to 6 m [16.5' to 20'] white shark,Dec,N,M
1986.10.03,1986,Unprovoked,usa,6,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",Oct,N,F
1986.10.05,1986,Unprovoked,south africa,32,1.6 m shark,Oct,N,M
1986.08.10,1986,Invalid,south africa,35,Invalid,Aug,,M
1986.07.00.a,1986,Unprovoked,south africa,26,1.2 m [4'] dusky shark,Jul,N,M
1986.03.15,1986,Unprovoked,south africa,26,>1 m shark,Mar,N,M
1986.02.18,1986,Unprovoked,south africa,21,>2.4 m [8'] white shark,Feb,N,M
1986.02.07,1986,Unprovoked,south africa,46,Raggedtooth shark,Feb,N,M
1986.02.06,1986,Unprovoked,south africa,29,"Raggedtooth shark, 2 m [6.75'] ",Feb,N,M
1986.02.01,1986,Unprovoked,australia,29,"Bronze whaler shark, 3.5 m ",Feb,N,M
1986.01.12,1986,Unprovoked,usa,22,Blacktip shark,Jan,N,M
1986.00.00,1986,Unprovoked,usa,16,1.5 m [5'] shark,,N,M
1985.10.24,1985,Unprovoked,south africa,22,2.5 m [8.25'] white shark,Oct,N,M
1985.10.22,1985,Unprovoked,usa,46,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,Oct,N,M
1985.09.05,1985,Invalid,usa,17,Invalid,Sep,,M
1985.08.20,1985,Invalid,usa,11,Shark involvement not confirmed,Aug,,M
1985.08.17,1985,Invalid,usa,67,Shark involvement prior to death not confirmed,Aug,,M
1985.07.25.b,1985,Unprovoked,usa,13,Possibly a small hammerhead shark,Jul,N,F
1985.07.00,1985,Unprovoked,italy,13,"3 m to 3.6 m  [10' to 11'9""] white shark",Jul,N,M
1985.03.03,1985,Unprovoked,australia,33,6 m [20'] white shark,Mar,Y,F
1985.02.18,1985,Unprovoked,usa,29,6 m [20'] white shark,Feb,N,M
1985.01.27,1985,Unprovoked,south africa,15,Raggedtooth shark,Jan,N,M
1985.01.17,1985,Unprovoked,south africa,18,"3.5 m white shark, tooth fragments recovered",Jan,N,M
1985.01.04,1985,Unprovoked,south africa,34,3.5 m [11.5'] white shark,Jan,N,M
1985.01.00.a,1985,Provoked,south africa,20,1.5 m [5'] dusky shark,Jan,N,M
1984.11.30,1984,Unprovoked,australia,16,"Tiger shark, 4 m ",Nov,Y,M
1984.10.21.b,1984,Invalid,usa,22,Shark involvement prior to death was not confirmed,Oct,,M
1984.10.21,1984,Unprovoked,usa,23,1.5 m [5'] shark,Oct,N,F
1984.10.17,1984,Invalid,usa,77,Shark involvement not confirmed; officials considered barracua,Oct,,F
1984.10.14.a,1984,Unprovoked,usa,15,1.2 m [4'] blacktip shark,Oct,N,M
1984.09.30.b,1984,Unprovoked,usa,25,3 m to 5 m [10' to 16.5'] white shark,Sep,N,M
1984.09.22.a,1984,Unprovoked,usa,16,Hammerhead shark?+O2356,Sep,N,M
1984.09.15,1984,Unprovoked,usa,28,4.5 m to 5 m white shark,Sep,Y,M
1984.07.24.a,1984,Unprovoked,usa,18,1.2 m [4'] shark,Jul,N,F
1984.07.22,1984,Invalid,south africa,21,Shark involvement prior to death was not confirmed,Jul,,M
1984.06.15,1984,Unprovoked,south africa,27,2.4 m [8'] white shark,Jun,N,M
1984.06.03.b,1984,Unprovoked,usa,13,1.2 m to 1.5 m [4' to 5'] hammerhead shark,Jun,N,F
1984.02.17,1984,Provoked,south africa,33, 1.5 m [5'] dusky shark,Feb,N,M
1984.01.05,1984,Unprovoked,south africa,14,"Raggedtooth shark, 1 m ",Jan,N,M
1983.12.21,1983,Unprovoked,south africa,47,"Raggedtooth shark, >1 m ",Dec,N,M
1983.08.20.a,1983,Unprovoked,south africa,29,5 m [16.5'] white shark,Aug,N,M
1983.08.15,1983,Unprovoked,usa,14,Sand shark,Aug,N,F
1983.08.13.a,1983,Unprovoked,usa,22,6' to 8' bull shark,Aug,N,F
1983.07.26,1983,Sea Disaster,australia,21,"Tiger shark, 5 m [16.5']",Jul,Y,F
1983.07.25.b,1983,Sea Disaster,australia,24,"Tiger shark, 5 m [16.5']",Jul,Y,M
1983.07.25.a,1983,Sea Disaster,australia,28,"Tiger shark, 5 m [16.5']",Jul,N,M
1983.07.12.b,1983,Unprovoked,usa,39,3.5' hammerhead shark,Jul,N,F
1983.05.31,1983,Unprovoked,usa,21,6' shark,May,N,M
1983.04.12,1983,Unprovoked,south africa,27,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",Apr,N,M
1983.03.30.a,1983,Unprovoked,south africa,17,1.8 m [6'] Zambezi shark,Mar,N,M
1983.02.20,1983,Unprovoked,south africa,16,3 m [10'] shark,Feb,N,M
1983.01.08,1983,Unprovoked,south africa,32,White shark,Jan,N,M
1982.10.13,1982,Unprovoked,usa,26,1.5 m [5'] shark,Oct,N,M
1982.09.30.a,1982,Unprovoked,south africa,16,"Believed to involve a 2.8 m [9'3""] white shark",Sep,N,M
1982.09.27,1982,Unprovoked,usa,20,1.5 m [5'] shark,Sep,N,M
1982.09.25,1982,Unprovoked,usa,36,White shark,Sep,N,M
1982.09.19,1982,Unprovoked,usa,28,5 m to 6 m [16.5' to 20'] white shark,Sep,N,M
1982.08.29.b,1982,Invalid,usa,17,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,Aug,,M
1982.07.31,1982,Invalid,south africa,20,Invalid,Jul,,M
1982.07.24.b,1982,Unprovoked,south africa,38,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",Jul,N,M
1982.07.24.a,1982,Unprovoked,usa,26,4.5 m to 5.5 m [14.7' to 18'] white shark,Jul,N,M
1982.07.19,1982,Unprovoked,usa,17,0.9 m to 1.2 m [3' to 4'] shark,Jul,N,M
1982.06.29,1982,Unprovoked,south africa,27,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",Jun,Y,M
1982.06.26.b,1982,Unprovoked,usa,20,5' shark,Jun,N,M
1982.01.29,1982,Unprovoked,south africa,20,Raggedtooth shark,Jan,N,M
1981.12.19,1981,Unprovoked,usa,24,7 m [23'] white shark,Dec,Y,M
1981.10.19.a,1981,Unprovoked,usa,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,N,M
1981.09.15,1981,Unprovoked,usa,26,Said to involve a tiger shark or a hammerhead shark,Sep,Y,M
1981.08.07,1981,Unprovoked,bahamas,53,Mako shark (tooth fragments recovered),Aug,N,M
1981.07.18,1981,Unprovoked,south africa,32,Possibly a  1.8 m [6'] Zambezi shark,Jul,N,M
1981.05.23,1981,Unprovoked,south korea,27,6 m  white shark,May,Y,F
1981.05.20,1981,Unprovoked,south africa,27,Raggedtooth shark,May,N,M
1981.05.10,1981,Unprovoked,south africa,19,"Raggedtooth shark, 2.5 m [8.25'] ",May,N,M
1981.05.05,1981,Unprovoked,south africa,24,"Tiger shark, 2.1 m [7']",May,N,M
1981.03.25,1981,Unprovoked,usa,19,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",Mar,N,M
1981.03.24,1981,Unprovoked,usa,24,C. maculpinnis or C. limbatus,Mar,N,M
1981.02.19,1981,Unprovoked,south africa,30,Juvenile dusky or blacktip shark,Feb,N,M
1981.02.02,1981,Unprovoked,usa,15,1.8 m to 2.4 m [6' to 8'] hammerhead shark,Feb,N,M
1981.00.00.b,1981,Unprovoked,australia,27,"Tiger shark, 2.5 m ",,N,M
1980.12.30,1980,Unprovoked,south africa,25,3.5 m [11.5'] shark,,N,M
1980.11.24,1980,Unprovoked,reunion,22,1.8 m [6'] white shark,Nov,N,M
1980.10.27,1980,Unprovoked,usa,29,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M
1980.10.17,1980,Unprovoked,usa,19,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M
1980.07.23,1980,Unprovoked,usa,22,4' to 8' shark,Jul,N,F
1980.05.15,1980,Unprovoked,south africa,22,1.8 m [6'] shark,May,N,M
1980.04.00,1980,Unprovoked,mexico,13,Tiger shark,Apr,N,F
1980.01.31,1980,Unprovoked,south africa,24,"2.8 m [9'3""] white shark",Jan,N,M
1980.01.15,1980,Provoked,south africa,29,"2 m [6'9""] Zambesi shark",Jan,N,M
1980.01.10,1980,Unprovoked,south africa,25,"Raggedtooth shark, 2 m [6'9""] ",Jan,N,M
1980.00.00.b,1980,Invalid,south africa,20,Invalid,,,M
1979.11.27,1979,Unprovoked,usa,20,"White shark, 4 m [13'] ",Nov,N,M
1979.05.05,1979,Provoked,south africa,25,"White shark, 2.5 m [8.25']  ",,N,M
1979.03.24,1979,Unprovoked,usa,27,Blacktip or spinner shark,Mar,N,M
1979.02.21,1979,Unprovoked,south africa,19,1.5 m to 2 m [5' to 6.75'] shark,Feb,N,M
1978.12.12,1978,Unprovoked,south africa,23,"White shark, 2.3 m [7.5'], tooth fragment recovered",Dec,Y,M
1978.09.27,1978,Unprovoked,south africa,27,"White shark, 3.7 m [12'] ",Sep,N,M
1978.01.17,1978,Unprovoked,south africa,17,Thought to involve a blacktip shark,Jan,N,M
1977.12.19.a,1977,Unprovoked,south africa,18,"Tiger shark, 3 m [10']",Dec,N,M
1977.10.30,1977,Unprovoked,south africa,25,"White shark, 5 m [16.5'] ",Oct,N,M
1977.08.31,1977,Unprovoked,australia,17,White shark,Aug,N,M
1977.08.14,1977,Unprovoked,usa,20,"White shark, 5.5 m to 6 m [18' to 20']  ",Aug,N,M
1977.06.26,1977,Provoked,usa,27,"Bull shark, 8",Jun,N,M
1976.12.18,1976,Unprovoked,usa,29,"White shark, 5.5 m [18'] ",Dec,N,M
1976.11.27,1976,Unprovoked,south africa,19,"White shark, 3 m [10'] k",Nov,N,M
1976.11.25,1976,Unprovoked,usa,19,2.1 m [7'] lemon shark or bull shark,Nov,N,M
1976.10.18,1976,Unprovoked,usa,25,"White shark, 3 m to 4 m [10' to 13'] ",Oct,N,M
1976.10.06,1976,Unprovoked,south africa,20,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",Oct,N,M
1976.09.06,1976,Unprovoked,usa,15,"Tiger shark, 6' ",Sep,N,M
1976.08.24,1976,Unprovoked,usa,19,"White shark, 4.5 m ",Aug,N,M
1976.06.23,1976,Unprovoked,usa,17,12' to 14' shark,Jun,N,M
1975.12.06,1975,Unprovoked,usa,27,White shark,Dec,N,M
1975.11.19.a,1975,Unprovoked,south africa,33,Juvenile dusky shark,Nov,N,M
1975.08.17,1975,Unprovoked,south africa,19,"White shark, 2.4 m [8']",Aug,N,M
1975.08.12,1975,Unprovoked,usa,20,1.5 m [5'] shark,Aug,N,M
1975.08.09,1975,Unprovoked,usa,44,White shark,Aug,N,M
1975.07.30.a,1975,Unprovoked,australia,37,White shark,Jul,Y,M
1975.07.23,1975,Unprovoked,usa,23,"White shark, 5.8 m [19'] ",Jul,N,M
1975.07.19,1975,Unprovoked,usa,34,"White shark, 5m to 6m",Jul,N,M
1975.07.15,1975,Unprovoked,usa,14,1.2 m [4'] shark,Jul,N,F
1975.06.23.b,1975,Unprovoked,usa,18,4' shark,Jun,N,M
1975.02.23,1975,Unprovoked,south africa,16,1.5 m [5'] shark,Feb,N,M
1975.02.10,1975,Unprovoked,australia,12,"White shark, 3 m [10'] ",Feb,Y,M
1974.09.28,1974,Unprovoked,usa,17,"White shark, 5.5 m to 6 m [18' to 20'] ",Sep,N,M
1974.09.14,1974,Unprovoked,usa,29,"White shark, 4 m to 5 m ",Sep,N,M
1974.09.07,1974,Unprovoked,israel,20,"Shortfin mako shark, 2.3 m [7.5'] ",Sep,N,F
1974.09.02.b,1974,Unprovoked,usa,41,"White shark, 5 m to 6 m [16.5 to 20'] ",Sep,N,M
1974.09.02.a,1974,Unprovoked,usa,48,"White shark, 5 m to 6 m [16.5 to 20'] ",Sep,N,M
1974.09.00,1974,Unprovoked,usa,24,"White shark, 4.5 m ",Sep,N,M
1974.05.26,1974,Unprovoked,usa,45,"White shark, 5 m [16.5']",May,N,M
1974.04.20,1974,Unprovoked,south africa,22,"Raggedtooth shark, 1.5 m [5'] ",Apr,N,M
1974.04.04,1974,Unprovoked,south africa,17,Juvenile dusky shark,Apr,N,M
1974.03.21,1974,Unprovoked,south africa,21,1.8 m [6'] shark,Mar,N,M
1974.01.07.c,1974,Unprovoked,south africa,33,2 m to 2.5 m [6.75'  to 8.25'] shark,Jan,N,M
