year,type,country,age,species_,month,fatal,sex,age_clean
2015,Unprovoked,south africa,15,"Raggedtooth shark, 1.3 m",Jan,N,M,15
2014,Unprovoked,australia,17,"White shark, 4 to 5 m",Dec,Y,M,17
2014,Unprovoked,usa,50,"White shark, 8' to 10'",Dec,N,M,50
2014,Provoked,australia,40s,1.5 m shark,Dec,N,M,
2014,Unprovoked,australia,17,Tiger shark,Dec,Y,M,17
2014,Unprovoked,usa,44,2' shark,Nov,N,M,44
2014,Unprovoked,usa,53,1.5 m shark,Nov,N,M,53
2014,Unprovoked,usa,34,"Tiger shark, 12'",Oct,N,F,34
2014,Unprovoked,australia,13,1 m shark,Oct,N,F,13
2014,Unprovoked,usa,29,Blacktip shark,Oct,N,M,29
2014,Unprovoked,usa,15,Blacktip shark,Oct,N,M,15
2014,Unprovoked,usa,28,8' to 10' shark,Oct,N,M,28
2014,Unprovoked,australia,23,"2 white shark: 13' & 9""8""",Oct,N,M,23
2014,Unprovoked,australia,50,7' shark,Sep,Y,M,50
2014,Unprovoked,usa,43,Bull shark,Sep,N,M,43
2014,Boating,usa,20s,"White shark, 12' to 14'",Sep,N,F,
2014,Provoked,usa,52,3' to 4' shark,Sep,N,M,52
2014,Unprovoked,usa,13,Spinner shark,Aug,N,F,13
2014,Unprovoked,usa,7," Bull shark, 5'",Aug,N,M,7
2014,Unprovoked,usa,10,4' tp 5' shark,Aug,N,M,10
2014,Unprovoked,south africa,20,White shark,Aug,N,M,20
2014,Unprovoked,usa,61,6' to 8' shark,Jul,N,M,61
2014,Unprovoked,usa,39,4' shark,Jul,N,M,39
2014,Invalid,bahamas,63,Shark involvement not confirmed,Jul,,M,63
2014,Unprovoked,usa,19,4' to 5' shark,Jul,N,M,19
2014,Unprovoked,usa,16," Sandbar shark, 3' to 4'",Jun,N,M,16
2014,Unprovoked,australia,39,"Bronze whaler shark, 1.5m",Jun,N,M,39
2014,Unprovoked,usa,22,Bull shark,Jun,N,F,22
2014,Unprovoked,australia,35," white shark, 15' ",May,N,M,35
2014,Unprovoked,usa,40,4' to 5' shark,May,N,F,40
2014,Unprovoked,usa,23,3' shark,May,N,M,23
2014,Unprovoked,australia,63,3 m to 4 m white shark,Apr,Y,F,63
2014,Invalid,australia,38,Shark involvement prior to death not confirmed,Mar,,M,38
2014,Unprovoked,south africa,66,2 m shark,Mar,Y,M,66
2014,Unprovoked,french polynesia,21,Blacktip reef shark ,Feb,N,M,21
2014,Unprovoked,new zealand,28,7-gill shark?,Feb,N,M,28
2013,Unprovoked,new caledonia,37,Reported to involve a bull shark,Dec,N,M,37
2013,Unprovoked,south africa,19,"White shark, 3m ",Dec,N,M,19
2013,Unprovoked,usa,29,"Tiger shark, 10' to 12'",Dec,N,M,29
2013,Unprovoked,usa,30,4' to 6' shark,Dec,N,M,30
2013,Unprovoked,australia,26," Wobbegong shark, 1.6 to 1.8m ",Dec,N,M,26
2013,Unprovoked,australia,19,"Tiger shark, 3m ",Nov,Y,M,19
2013,Unprovoked,australia,35,Thought to involve a white shark,Nov,Y,M,35
2013,Unprovoked,usa,25,"White shark, 10 '",Nov,N,M,25
2013,Unprovoked,usa,46,Tiger shark,Oct,N,M,46
2013,Unprovoked,australia,60,"Blacktip reef shark, 1m",Oct,N,F,60
2013,Unprovoked,reunion,24,Thought to involve a bull shark,Oct,N,M,24
2013,Unprovoked,australia,41,Wobbegong shark,Oct,N,M,41
2013,Unprovoked,usa,45,"Whitetip reef shark, 4' to 6'",Oct,N,M,45
2013,Unprovoked,usa,25,Tiger shark,Oct,N,M,25
2013,Unprovoked,usa,6,Nurse shark?,Oct,N,M,6
2013,Unprovoked,south africa,74,White shark,Oct,Y,M,74
2013,Unprovoked,australia,55,White shark,Oct,N,M,55
2013,Unprovoked,usa,45,"White shark, 8' to 10'",Oct,N,M,45
2013,Unprovoked,usa,21,Bull shark,Sep,N,M,21
2013,Unprovoked,usa,13,3' shark,Sep,N,F,13
2013,Provoked,usa,43,3' shark,Sep,N,M,43
2013,Unprovoked,usa,25,3' shark,Sep,N,M,25
2013,Unprovoked,usa,9,4' shark,Sep,N,M,9
2013,Unprovoked,usa,20,Tiger shark?,Aug,Y,F,20
2013,Unprovoked,usa,10,"Bull shark, 8'",Aug,N,M,10
2013,Unprovoked,usa,17,"Bull shark, 6' to 8'",Aug,N,M,17
2013,Unprovoked,bahamas,40,6' shark,Jul,N,M,40
2013,Unprovoked,usa,18,"Tiger shark, 8' to 10' ",Jul,N,M,18
2013,Unprovoked,bahamas,64,Nurse shark,Jul,N,M,64
2013,Unprovoked,usa,14,4' to 5' shark,Jun,N,M,14
2013,Unprovoked,usa,28,"Tiger shark, 14'",Jun,N,M,28
2013,Unprovoked,usa,10,4' to 5' shark,Jun,N,F,10
2013,Unprovoked,ecuador,29,Galapagos shark,May,N,M,29
2013,Unprovoked,reunion,36,Bull shark,May,Y,M,36
2013,Unprovoked,usa,16,a small shark,May,N,M,16
2013,Unprovoked,mexico,34,Tiger shark,Apr,N,F,34
2013,Unprovoked,australia,51,"Grey nurse shark, 3m",Apr,N,M,51
2013,Unprovoked,usa,9,3' shark,Apr,N,M,9
2013,Unprovoked,usa,21,Bull shark,Apr,N,M,21
2013,Unprovoked,french polynesia,53,Possibly a blacktip reef shark,Apr,N,M,53
2013,Unprovoked,usa,58,4' shark,Apr,N,M,58
2013,Provoked,south africa,30,"Raggedtooth shark, 1.5 m",Mar,N,M,30
2013,Unprovoked,jamaica,68,"Tiger shark, 4.8 m",Mar,Y,M,68
2013,Unprovoked,australia,28,"Bronze whaler shark, 2.5m",Mar,N,M,28
2013,Unprovoked,new zealand,46,"White shark, 4m",Feb,Y,M,46
2013,Unprovoked,usa,16,"Blacktip shark, 4' to 5'",Feb,N,M,16
2013,Unprovoked,french polynesia,48,Lemon shark,Feb,N,M,48
2013,Unprovoked,usa,43,"Tiger shark, 15'",Jan,N,M,43
2012,Unprovoked,australia,23,2.5 m shark,Dec,N,M,23
2012,Unprovoked,australia,29,"Bull shark, 2m ",Dec,N,M,29
2012,Unprovoked,australia,32,"Tiger shark, 6'",Dec,N,M,32
2012,Unprovoked,usa,60,10' shark,Dec,N,M,60
2012,Unprovoked,australia,31,Sandtiger shark,Dec,N,M,31
2012,Unprovoked,usa,61,"Tiger shark, 10'",Nov,N,M,61
2012,Unprovoked,mexico,32,2.5 m shark,Nov,Y,M,32
2012,Unprovoked,usa,14,2' to 3' shark,Nov,N,M,14
2012,Unprovoked,usa,30,"Tiger shark, 15'",Nov,N,M,30
2012,Unprovoked,usa,43,"Tiger shark, 8'",Nov,N,M,43
2012,Unprovoked,usa,25,White shark,Oct,N,M,25
2012,Unprovoked,usa,51,"Tiger shark, 10' to 12' ",Oct,N,F,51
2012,Unprovoked,usa,39,"White shark, 15' to 16' ",Oct,Y,M,39
2012,Unprovoked,usa,55,6' to 8' shark,Oct,N,M,55
2012,Unprovoked,australia,11,2m shark,Oct,N,M,11
2012,Unprovoked,usa,21,5' shark,Sep,N,M,21
2012,Unprovoked,usa,22,4' shark,Sep,N,M,22
2012,Unprovoked,usa,8,3.5' to 4' shark,Sep,N,F,8
2012,Unprovoked,usa,56,3.5' to 4' shark,Sep,N,F,56
2012,Unprovoked,usa,56,"Lemon shark, 4' to 5' ",Aug,N,M,56
2012,Unprovoked,australia,48,White shark or bronze whaler,Jul,N,M,48
2012,Unprovoked,usa,50,Thought to involve a white shark,Jul,N,M,50
2012,Unprovoked,australia,24,"White shark, 5m",Jul,Y,M,24
2012,Boating,usa,52,14' to 18'shark,Jul,N,M,52
2012,Unprovoked,south africa,29,15' shark,Jul,N,M,29
2012,Unprovoked,usa,6,possibly a bull shark,Jun,N,M,6
2012,Unprovoked,usa,16,a small reef shark,Jun,N,F,16
2012,Unprovoked,australia,62,3 m shark,Jun,N,M,62
2012,Provoked,usa,23,Nurse shark,Jun,N,M,23
2012,Unprovoked,usa,18,small blacktip shark?,Jun,N,F,18
2012,Unprovoked,usa,16,Blacktip shark ,Jun,N,M,16
2012,Unprovoked,australia,42,1.5 m shark,Jun,N,M,42
2012,Provoked,italy,57,"Blue shark, 2.5m",Jun,,M,57
2012,Unprovoked,australia,30,"White shark, 2 m",Jun,N,M,30
2012,Unprovoked,usa,33,"18"" to 24"" shark",May,N,F,33
2012,Unprovoked,mexico,46,"Bull shark, 3m",May,N,M,46
2012,Unprovoked,usa,22,4' to 5' shark,May,N,M,22
2012,Boating,usa,30,White shark,May,N,M,30
2012,Unprovoked,usa,15,White shark,May,N,F,15
2012,Unprovoked,usa,28,5' shark,Apr,N,M,28
2012,Unprovoked,south africa,20,"White shark, 4 m to 5m ",Apr,Y,M,20
2012,Unprovoked,usa,28,"Tiger shark, 10'  ",Apr,N,M,28
